subject,baseline_mse,no_aux_bias_mse,delta_mse,baseline_mae,no_aux_bias_mae,delta_mae,baseline_r2,no_aux_bias_r2,delta_r2,baseline_raw_mse,no_aux_bias_raw_mse,delta_raw_mse,baseline_raw_mae,no_aux_bias_raw_mae,delta_raw_mae,baseline_raw_r2,no_aux_bias_raw_r2,delta_raw_r2
s01,0.2229876071214676,0.3295767903327942,0.1065891832113266,0.1375609189271927,0.17835041880607605,0.04078949987888336,0.754054069519043,0.6364907026290894,-0.11756336688995361,10624505.0,20561168.0,9936663.0,355.8901672363281,510.021240234375,154.13107299804688,0.6992554664611816,0.4179815649986267,-0.28127390146255493
s02,0.4305506646633148,0.5206174850463867,0.0900668203830719,0.19317103922367096,0.2255561500787735,0.03238511085510254,0.5014636516571045,0.3971748948097229,-0.10428875684738159,1508355.125,1757492.0,249136.875,139.05784606933594,156.02195739746094,16.964111328125,0.6257705688476562,0.5639585852622986,-0.061811983585357666
s03,0.46818608045578003,0.4848441779613495,0.016658097505569458,0.19140994548797607,0.2130953073501587,0.021685361862182617,0.642568051815033,0.6298506259918213,-0.01271742582321167,5840389.5,6026913.5,186524.0,288.2391052246094,308.8231506347656,20.58404541015625,0.8000714778900146,0.7936863303184509,-0.006385147571563721
s04,0.3336402475833893,0.3807554841041565,0.04711523652076721,0.148390993475914,0.18144236505031586,0.033051371574401855,0.7535154223442078,0.7187079191207886,-0.03480750322341919,876086.0,1119962.0,243876.0,122.29547119140625,149.89866638183594,27.603195190429688,0.7762376666069031,0.7139489650726318,-0.06228870153427124
s05,0.26177483797073364,0.7245937585830688,0.4628189206123352,0.15480858087539673,0.2681257426738739,0.11331716179847717,0.7405283451080322,0.2817813754081726,-0.4587469696998596,17697952.0,51373732.0,33675780.0,431.51007080078125,740.9283447265625,309.41827392578125,0.7428117990493774,0.2534324526786804,-0.489379346370697
s06,0.38982510566711426,0.6605292558670044,0.27070415019989014,0.18891528248786926,0.25475963950157166,0.06584435701370239,0.7519742846488953,0.5797391533851624,-0.1722351312637329,6519996.0,11535670.0,5015674.0,262.7039794921875,363.3290710449219,100.62509155273438,0.785746157169342,0.6209259033203125,-0.16482025384902954
s07,0.28479695320129395,0.6431966423988342,0.3583996891975403,0.15083728730678558,0.24987544119358063,0.09903815388679504,0.8232423067092896,0.6008034944534302,-0.22243881225585938,3232766.25,10367281.0,7134514.75,213.34274291992188,392.4136657714844,179.0709228515625,0.8263452649116516,0.4431000351905823,-0.38324522972106934
s08,0.2837759256362915,0.38243409991264343,0.09865817427635193,0.16096580028533936,0.19008824229240417,0.02912244200706482,0.7086604237556458,0.6073726415634155,-0.10128778219223022,5782607.0,11201765.0,5419158.0,248.11293029785156,336.6812438964844,88.56831359863281,0.3232519030570984,-0.3109610080718994,-0.6342129111289978
s09,0.272389680147171,0.4388522803783417,0.16646260023117065,0.15419723093509674,0.20575210452079773,0.05155487358570099,0.7466855049133301,0.5918801426887512,-0.15480536222457886,2727698.25,5049811.5,2322113.25,168.41314697265625,239.103271484375,70.69012451171875,0.8693206310272217,0.7580721974372864,-0.1112484335899353
s10,0.43301424384117126,0.7721234560012817,0.3391092121601105,0.19852255284786224,0.2759678363800049,0.07744528353214264,0.6621596217155457,0.3975844979286194,-0.26457512378692627,28046684.0,57018628.0,28971944.0,455.0346984863281,697.15478515625,242.12008666992188,0.6878889799118042,0.3654813766479492,-0.322407603263855
s11,0.39814087748527527,0.6127899885177612,0.21464911103248596,0.18261884152889252,0.24585865437984467,0.06323981285095215,0.5861362218856812,0.3630104064941406,-0.22312581539154053,1295049.625,2139957.0,844907.375,147.31996154785156,198.56097412109375,51.24101257324219,0.7323893308639526,0.5577965974807739,-0.1745927333831787
s12,0.3106582760810852,0.3272136449813843,0.016555368900299072,0.161121666431427,0.17782247066497803,0.016700804233551025,0.7175590991973877,0.7025074362754822,-0.015051662921905518,7620621.5,6404936.5,-1215685.0,275.4023132324219,278.05499267578125,2.652679443359375,0.7083663940429688,0.7548894286155701,0.04652303457260132
s13,0.4781239628791809,0.5125657320022583,0.03444176912307739,0.20641951262950897,0.22240415215492249,0.015984639525413513,0.5417159795761108,0.508703351020813,-0.03301262855529785,4626874.5,4940786.5,313912.0,235.78662109375,252.71717834472656,16.930557250976562,0.7191034555435181,0.7000459432601929,-0.019057512283325195
s14,0.33952757716178894,0.5807992219924927,0.24127164483070374,0.14312459528446198,0.23664142191410065,0.09351682662963867,0.7099855542182922,0.5038983821868896,-0.2060871720314026,5275002.5,10211394.0,4936391.5,225.38143920898438,375.0018005371094,149.620361328125,0.7097305655479431,0.43809401988983154,-0.2716365456581116
s15,263709.90625,437760.53125,174050.625,4.508518695831299,7.542892932891846,3.034374237060547,0.7549028396606445,0.5931367874145508,-0.16176605224609375,96875992.0,261978880.0,165102888.0,572.21630859375,1430.8890380859375,858.6727294921875,0.6819019317626953,0.13977670669555664,-0.5421252250671387
s17,0.2715635597705841,0.7556174993515015,0.48405393958091736,0.150855153799057,0.2748350501060486,0.12397989630699158,0.708247721195221,0.1882079839706421,-0.5200397372245789,20365382.0,99617960.0,79252578.0,486.7662048339844,1080.1431884765625,593.3769836425781,-1.3500645160675049,-10.495420455932617,-9.145355939865112
s18,1200.095703125,1496.5919189453125,296.4962158203125,0.4338201582431793,0.5790970325469971,0.14527687430381775,0.655088484287262,0.5698745250701904,-0.08521395921707153,67415760.0,85715824.0,18300064.0,251.02101135253906,348.825927734375,97.80491638183594,0.6591417789459229,0.5666155815124512,-0.09252619743347168
s19,0.4684049189090729,0.5642347931861877,0.09582987427711487,0.2055371105670929,0.23602090775966644,0.030483797192573547,0.5810025930404663,0.4952808618545532,-0.08572173118591309,10195991.0,11768203.0,1572212.0,390.0498962402344,427.427734375,37.377838134765625,0.5862872004508972,0.5224930644035339,-0.06379413604736328
s20,0.46445125341415405,1078712.25,1078711.7855487466,0.2103908210992813,12.376321792602539,12.165930971503258,0.9999998807907104,0.6717301607131958,-0.32826972007751465,81114232.0,279633664.0,198519432.0,1029.2607421875,1564.959716796875,535.698974609375,0.8056362271308899,0.32994920015335083,-0.47568702697753906
s21,0.18129993975162506,0.4770123362541199,0.2957123965024948,0.11197930574417114,0.2125232219696045,0.10054391622543335,0.8369523882865906,0.5710108280181885,-0.2659415602684021,17343194.0,69415688.0,52072494.0,456.6709289550781,972.049560546875,515.3786315917969,0.6406264305114746,-0.43838346004486084,-1.0790098905563354
s22,0.2391660362482071,0.41708409786224365,0.17791806161403656,0.12808538973331451,0.1970784217119217,0.06899303197860718,0.8001659512519836,0.6515073776245117,-0.14865857362747192,2685475.75,4853382.0,2167906.25,171.20919799804688,263.54901123046875,92.33981323242188,0.8637622594833374,0.7537814378738403,-0.10998082160949707
s23,0.3276912569999695,0.4719747006893158,0.1442834436893463,0.1723528653383255,0.20866759121418,0.03631472587585449,0.7798937559127808,0.6829802989959717,-0.09691345691680908,1011150464.0,1292912896.0,281762432.0,2289.20849609375,2609.366943359375,320.158447265625,0.855884313583374,0.8157257437705994,-0.04015856981277466
s25,0.22879178822040558,0.47457993030548096,0.24578814208507538,0.11694131046533585,0.21387696266174316,0.09693565219640732,0.7712645530700684,0.5255370140075684,-0.2457275390625,30689340.0,109321512.0,78632172.0,322.7975158691406,832.5667724609375,509.7692565917969,-4729.19970703125,-16848.908203125,-12119.70849609375
s26,0.39135631918907166,0.38743025064468384,-0.003926068544387817,0.17626908421516418,0.1878119856119156,0.011542901396751404,0.632522702217102,0.6362091898918152,0.0036864876747131348,31082.923828125,29289.197265625,-1793.7265625,28.037059783935547,29.29265785217285,1.2555980682373047,0.5948777198791504,0.6182564496994019,0.023378729820251465
s29,0.18820960819721222,0.3271142542362213,0.1389046460390091,0.12161824107170105,0.17743654549121857,0.05581830441951752,0.7454348206520081,0.5575575828552246,-0.18787723779678345,40185828.0,124826928.0,84641100.0,669.651611328125,1307.82666015625,638.175048828125,-7368.47021484375,-22890.361328125,-15521.89111328125
s30,525371.6875,192379.296875,-332992.390625,7.45220947265625,2.992194175720215,-4.460015296936035,0.4500941038131714,0.798636794090271,0.3485426902770996,101603384.0,37224836.0,-64378548.0,113.55889129638672,65.72601318359375,-47.83287811279297,0.4501093626022339,0.7985343933105469,0.348425030708313
s31,0.2562602162361145,0.872689962387085,0.6164297461509705,0.1538209766149521,0.29626888036727905,0.14244790375232697,0.762437105178833,0.19098329544067383,-0.5714538097381592,2556.783447265625,9463.20703125,6906.423583984375,10.358686447143555,19.983444213867188,9.624757766723633,0.7448728084564209,0.055719196796417236,-0.6891536116600037
s32,2915.499755859375,13649.37890625,10733.879150390625,0.4933232069015503,1.6027045249938965,1.1093813180923462,0.9454972743988037,0.7448366284370422,-0.20066064596176147,43037960.0,143714784.0,100676824.0,50.46808624267578,154.8703155517578,104.40222930908203,0.922174334526062,0.7401200532913208,-0.1820542812347412
